age-range,gender,race,FoodChoice,field,reading_normalized,gaming_normalized,cleanliness_normalized,music_normalized,movies_normalized,tv_normalized,clubbing_normalized,hiking_normalized,exercise_normalized,sports_normalized,importance_same_religion_normalized,Smoking,Drinking,locations
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,No,Occasionally,Wascana Park
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Yes,No,Sherwood Estates
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Yes,Occasionally,Mirror Sun Gardens
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Yes,Yes,Garden Ridge
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Yes,No,Walsh Acres
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,No,Yes,Rochdale Park
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,No,Occasionally,Maple Ridge
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,No,No,Glen Elm Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,No,No,Tuxedo Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Yes,Occasionally,Garden Ridge
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Yes,Yes,Connaught Park
"(21, 25)",female,european/caucasian-american,Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Yes,No,Whitmore Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,No,Occasionally,Rochdale Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,No,Yes,Assiniboia Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Sometimes,Occasionally,Lakeview South
"(21, 25)",female,european/caucasian-american,Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Sometimes,Yes,Wascana Park
"(21, 25)",female,european/caucasian-american,Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Yes,Occasionally,Wascana Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,No,Yes,Normanview
"(21, 25)",female,european/caucasian-american,Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Yes,Occasionally,Coronation Park
"(21, 25)",female,european/caucasian-american,Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Yes,Occasionally,Walsh Acres
"(21, 25)",female,european/caucasian-american,Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,Yes,No,Lakeridge
"(21, 25)",female,european/caucasian-american,Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,Sometimes,Occasionally,Westridge
"(21, 25)",female,european/caucasian-american,Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,Sometimes,Yes,Crescents
"(21, 25)",female,european/caucasian-american,Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,No,Occasionally,Coventry Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,Sometimes,Yes,Rothwell Place
"(21, 25)",female,european/caucasian-american,Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,Yes,Occasionally,Old 33
